question_id,image_filename,category,item,image_path
Q_001_animals_dog,animals_dog.png,animals,dog,images\animals_dog.png
Q_002_animals_cat,animals_cat.png,animals,cat,images\animals_cat.png
Q_003_animals_bird,animals_bird.png,animals,bird,images\animals_bird.png
Q_004_animals_fish,animals_fish.png,animals,fish,images\animals_fish.png
Q_005_animals_horse,animals_horse.png,animals,horse,images\animals_horse.png
Q_006_animals_cow,animals_cow.png,animals,cow,images\animals_cow.png
Q_007_animals_pig,animals_pig.png,animals,pig,images\animals_pig.png
Q_008_animals_duck,animals_duck.png,animals,duck,images\animals_duck.png
Q_009_animals_frog,animals_frog.png,animals,frog,images\animals_frog.png
Q_010_animals_lion,animals_lion.png,animals,lion,images\animals_lion.png
Q_011_body_parts_hand,body_parts_hand.png,body_parts,hand,images\body_parts_hand.png
Q_012_body_parts_foot,body_parts_foot.png,body_parts,foot,images\body_parts_foot.png
Q_013_body_parts_arm,body_parts_arm.png,body_parts,arm,images\body_parts_arm.png
Q_014_body_parts_leg,body_parts_leg.png,body_parts,leg,images\body_parts_leg.png
Q_015_body_parts_head,body_parts_head.png,body_parts,head,images\body_parts_head.png
Q_016_body_parts_eye,body_parts_eye.png,body_parts,eye,images\body_parts_eye.png
Q_017_body_parts_ear,body_parts_ear.png,body_parts,ear,images\body_parts_ear.png
Q_018_body_parts_nose,body_parts_nose.png,body_parts,nose,images\body_parts_nose.png
Q_019_body_parts_mouth,body_parts_mouth.png,body_parts,mouth,images\body_parts_mouth.png
Q_020_body_parts_knee,body_parts_knee.png,body_parts,knee,images\body_parts_knee.png
Q_021_clothing_shirt,clothing_shirt.png,clothing,shirt,images\clothing_shirt.png
Q_022_clothing_pants,clothing_pants.png,clothing,pants,images\clothing_pants.png
Q_023_clothing_dress,clothing_dress.png,clothing,dress,images\clothing_dress.png
Q_024_clothing_shoe,clothing_shoe.png,clothing,shoe,images\clothing_shoe.png
Q_025_clothing_hat,clothing_hat.png,clothing,hat,images\clothing_hat.png
Q_026_clothing_sock,clothing_sock.png,clothing,sock,images\clothing_sock.png
Q_027_clothing_jacket,clothing_jacket.png,clothing,jacket,images\clothing_jacket.png
Q_028_clothing_coat,clothing_coat.png,clothing,coat,images\clothing_coat.png
Q_029_clothing_glove,clothing_glove.png,clothing,glove,images\clothing_glove.png
Q_030_clothing_belt,clothing_belt.png,clothing,belt,images\clothing_belt.png
Q_031_food_apple,food_apple.png,food,apple,images\food_apple.png
Q_032_food_bread,food_bread.png,food,bread,images\food_bread.png
Q_033_food_milk,food_milk.png,food,milk,images\food_milk.png
Q_034_food_egg,food_egg.png,food,egg,images\food_egg.png
Q_035_food_rice,food_rice.png,food,rice,images\food_rice.png
Q_036_food_cheese,food_cheese.png,food,cheese,images\food_cheese.png
Q_037_food_banana,food_banana.png,food,banana,images\food_banana.png
Q_038_food_orange,food_orange.png,food,orange,images\food_orange.png
Q_039_food_carrot,food_carrot.png,food,carrot,images\food_carrot.png
Q_040_food_cake,food_cake.png,food,cake,images\food_cake.png
