question_id,exercise_id,exercise_name,exercise_start_at_iso,exercise_end_at_iso,exercise_duration_seconds,module_start_at_iso,module_end_at_iso,module,category,item,item_image_filename,difficulty_label,question_type,presented_at_iso,response_at_iso,response_time_seconds,user_answer,correct_answer,correct,correct_before_cue,cue_given,cue_type,cue_stage,cue_sequence_number,cue_wait_seconds,hint_count,session_id,user_id,therapist_assigned_level,device_type,created_at_iso
Q_ANI_E_001,EX_W_ANI_E_001,Menulis - Haiwan Mudah,2024-09-17T15:05:00,2024-09-17T15:05:08.940000,8.94,2024-09-17T15:05:00,2024-09-17T15:05:08.940000,writing,animals,kucing,images/kucing.png,easy,pic_to_word,2024-09-17T15:05:01,2024-09-17T15:05:08.940000,7.94,kucing,kucing,1,1,0,,0,0,,0,SESS_USER_009_001,USER_009,1,mobile,2024-09-17T15:05:10.544951
Q_C_BODY_H_004,EX_C_BODY_H_004,Kefahaman - Badan Sukar,2024-07-16T14:38:37,2024-07-16T14:39:05.540000,28.54,2024-07-16T14:38:30,2024-07-16T14:39:05.540000,comprehension,body_parts,images/otak.png,Organ dalaman yang mengawal pemikiran dan pergerakan badan.,hard,word_to_pic,2024-07-16T14:38:56,2024-07-16T14:39:05.540000,9.54,images/bahu.png,images/otak.png,0,0,1,modeling,1,1,42.42,1,SESS_USER_005_001,USER_005,2,mobile,2024-07-16T14:39:07.066668
Q_FOOD_E_003,EX_W_FOOD_E_003,Menulis - Makanan Mudah,2024-05-30T14:11:07,2024-05-30T14:11:53.340000,46.34,2024-05-30T14:11:00,2024-05-30T14:11:53.340000,writing,food,susu,images/susu.png,easy,pic_to_word,2024-05-30T14:11:41,2024-05-30T14:11:53.340000,12.34,susu,susu,1,1,1,phonemic,3,1,58.45,1,SESS_USER_008_001,USER_008,5,web,2024-05-30T14:11:55.173993
Q_C_BODY_M_004,EX_C_BODY_M_004,Kefahaman - Badan Sederhana,2024-09-16T17:13:32,2024-09-16T17:14:31.230000,59.23,2024-09-16T17:13:30,2024-09-16T17:14:31.230000,comprehension,body_parts,images/perut.png,Bahagian badan di bawah dada.,medium,word_to_pic,2024-09-16T17:14:19,2024-09-16T17:14:31.230000,12.23,images/perut.png,images/perut.png,1,1,1,modeling,5,1,55.52,5,SESS_USER_041_001,USER_041,3,web,2024-09-16T17:14:32.258351
Q_FOOD_H_005,EX_W_FOOD_H_005,Menulis - Makanan Sukar,2024-06-06T11:05:03,2024-06-06T11:06:13.870000,70.87,2024-06-06T11:05:00,2024-06-06T11:06:13.870000,writing,food,kuih lapis,images/kuih_lapis.png,hard,pic_to_word,2024-06-06T11:06:03,2024-06-06T11:06:13.870000,10.87,susu,kuih lapis,0,0,0,,0,0,,0,SESS_USER_024_001,USER_024,2,mobile,2024-06-06T11:06:15.360624
Q_C_KK_E_005,EX_C_KK_E_005,Kefahaman - Kata Kerja Mudah,2024-09-17T15:07:38,2024-09-17T15:09:36.620000,118.62,2024-09-17T15:07:30,2024-09-17T15:09:36.620000,comprehension,verbs,images/berdiri.png,Perbuatan tegak di atas kaki.,easy,word_to_pic,2024-09-17T15:08:58,2024-09-17T15:09:36.620000,38.62,images/berdiri.png,images/berdiri.png,1,1,1,sentence_completion,4,1,58.04,2,SESS_USER_009_001,USER_009,1,web,2024-09-17T15:09:37.312261
Q_BADAN_M_002,EX_W_BADAN_M_002,Menulis - Anggota Badan Sederhana,2024-09-21T15:10:03,2024-09-21T15:11:48.780000,105.78,2024-09-21T15:10:00,2024-09-21T15:11:48.780000,writing,body_parts,kepala,images/kepala.png,medium,pic_to_word,2024-09-21T15:11:33,2024-09-21T15:11:48.780000,15.78,kepala,kepala,1,1,1,sentence_completion,5,1,17.66,2,SESS_USER_029_001,USER_029,2,mobile,2024-09-21T15:11:49.014887
Q_C_BODY_E_004,EX_C_BODY_E_004,Kefahaman - Badan Mudah,2024-02-04T22:05:35,2024-02-04T22:07:51.710000,136.71,2024-02-04T22:05:30,2024-02-04T22:07:51.710000,comprehension,body_parts,images/hidung.png,Anggota badan untuk menghidup bau dan bernafas.,easy,word_to_pic,2024-02-04T22:07:25,2024-02-04T22:07:51.710000,26.71,images/hidung.png,images/hidung.png,1,1,1,phonemic,4,1,16.78,2,SESS_USER_015_001,USER_015,2,mobile,2024-02-04T22:07:53.587477
Q_KK_M_002,EX_W_KK_M_002,Menulis - Kata Kerja Sederhana,2024-05-04T20:34:06,2024-05-04T20:36:18.120000,132.12,2024-05-04T20:34:00,2024-05-04T20:36:18.120000,writing,verbs,menulis,images/menulis.png,medium,pic_to_word,2024-05-04T20:36:11,2024-05-04T20:36:18.120000,7.12,menulis,menulis,1,1,1,spelling,3,1,28.3,2,SESS_USER_031_001,USER_031,3,mobile,2024-05-04T20:36:18.322925
Q_C_KK_E_001,EX_C_KK_E_001,Kefahaman - Kata Kerja Mudah,2024-02-20T08:29:35,2024-02-20T08:31:59.950000,144.95,2024-02-20T08:29:30,2024-02-20T08:31:59.950000,comprehension,verbs,images/makan.png,Perbuatan memasukkan makanan ke dalam mulut.,easy,word_to_pic,2024-02-20T08:31:51,2024-02-20T08:31:59.950000,8.95,images/makan.png,images/makan.png,1,1,0,,0,0,,0,SESS_USER_042_001,USER_042,5,mobile,2024-02-20T08:32:00.411397
Q_ANI_M_001,EX_W_ANI_M_001,Menulis - Haiwan Sederhana,2024-04-03T12:34:03,2024-04-03T12:36:47.820000,164.82,2024-04-03T12:34:00,2024-04-03T12:36:47.820000,writing,animals,kambing,images/kambing.png,medium,pic_to_word,2024-04-03T12:36:37,2024-04-03T12:36:47.820000,10.82,kambing,kambing,1,1,0,,0,0,,0,SESS_USER_028_001,USER_028,1,web,2024-04-03T12:36:48.106027
Q_C_BODY_H_003,EX_C_BODY_H_003,Kefahaman - Badan Sukar,2024-01-08T10:04:33,2024-01-08T10:07:34.830000,181.83,2024-01-08T10:04:30,2024-01-08T10:07:34.830000,comprehension,body_parts,images/hati.png,Organ dalaman yang menghasilkan empedu dan memproses nutrien.,hard,word_to_pic,2024-01-08T10:07:18,2024-01-08T10:07:34.830000,16.83,images/hati.png,images/hati.png,1,0,1,rhyming,7,1,27.06,1,SESS_USER_035_001,USER_035,3,mobile,2024-01-08T10:07:36.802087
Q_ANI_M_003,EX_W_ANI_M_003,Menulis - Haiwan Sederhana,2024-05-26T14:50:08,2024-05-26T14:53:18.140000,190.14,2024-05-26T14:50:00,2024-05-26T14:53:18.140000,writing,animals,kuda,images/kuda.png,medium,pic_to_word,2024-05-26T14:53:09,2024-05-26T14:53:18.140000,9.14,anjing,kuda,0,0,0,,0,0,,0,SESS_USER_030_001,USER_030,4,mobile,2024-05-26T14:53:18.803745
Q_C_BODY_M_001,EX_C_BODY_M_001,Kefahaman - Badan Sederhana,2024-01-08T10:05:35,2024-01-08T10:09:19.690000,224.69,2024-01-08T10:04:30,2024-01-08T10:09:19.690000,comprehension,body_parts,images/telinga.png,Anggota badan untuk mendengar bunyi.,medium,word_to_pic,2024-01-08T10:08:50,2024-01-08T10:09:19.690000,29.69,mata,images/telinga.png,0,0,1,sentence_completion,7,1,34.21,1,SESS_USER_035_001,USER_035,3,mobile,2024-01-08T10:09:21.407551
Q_BADAN_E_005,EX_W_BADAN_E_005,Menulis - Anggota Badan Mudah,2024-04-30T14:14:09,2024-04-30T14:17:51.090000,222.09,2024-04-30T14:14:00,2024-04-30T14:17:51.090000,writing,body_parts,telinga,images/telinga.png,easy,pic_to_word,2024-04-30T14:17:41,2024-04-30T14:17:51.090000,10.09,telinga,telinga,1,1,1,sentence_completion,1,1,28.06,1,SESS_USER_044_001,USER_044,1,mobile,2024-04-30T14:17:51.578092
Q_C_KK_E_002,EX_C_KK_E_002,Kefahaman - Kata Kerja Mudah,2024-05-15T14:15:40,2024-05-15T14:19:30.580000,230.58,2024-05-15T14:15:30,2024-05-15T14:19:30.580000,comprehension,verbs,images/minum.png,Perbuatan memasukkan minuman ke dalam mulut.,easy,word_to_pic,2024-05-15T14:19:25,2024-05-15T14:19:30.580000,5.58,images/minum.png,images/minum.png,1,1,0,,0,0,,0,SESS_USER_016_001,USER_016,2,web,2024-05-15T14:19:30.697699
Q_BADAN_H_004,EX_W_BADAN_H_004,Menulis - Anggota Badan Sukar,2024-02-21T09:42:03,2024-02-21T09:46:24.280000,261.28,2024-02-21T09:42:00,2024-02-21T09:46:24.280000,writing,body_parts,dada,images/dada.png,hard,pic_to_word,2024-02-21T09:46:05,2024-02-21T09:46:24.280000,19.28,dada,dada,1,1,1,written_initial,1,1,53.36,1,SESS_USER_037_001,USER_037,1,web,2024-02-21T09:46:24.679719
Q_C_BODY_H_004,EX_C_BODY_H_004,Kefahaman - Badan Sukar,2024-07-16T14:38:37,2024-07-16T14:43:34.050000,297.05,2024-06-03T17:59:30,2024-07-16T14:43:34.050000,comprehension,body_parts,images/otak.png,Organ dalaman yang mengawal pemikiran dan pergerakan badan.,hard,word_to_pic,2024-07-16T14:42:56,2024-07-16T14:43:34.050000,38.05,images/otak.png,images/otak.png,1,1,0,,0,0,,0,SESS_USER_046_001,USER_046,5,web,2024-07-16T14:43:34.718820
Q_FOOD_H_002,EX_W_FOOD_H_002,Menulis - Makanan Sukar,2024-09-17T15:14:01,2024-09-17T15:18:53.430000,292.43,2024-09-17T15:14:00,2024-09-17T15:18:53.430000,writing,food,mee goreng,images/mee_goreng.png,hard,pic_to_word,2024-09-17T15:18:33,2024-09-17T15:18:53.430000,20.43,mee goreng,mee goreng,1,1,0,,0,0,,0,SESS_USER_009_001,USER_009,1,mobile,2024-09-17T15:18:54.679177
Q_C_BODY_H_004,EX_C_BODY_H_004,Kefahaman - Badan Sukar,2024-07-16T14:38:37,2024-07-16T14:43:59.080000,322.08,2024-12-17T19:03:30,2024-07-16T14:43:59.080000,comprehension,body_parts,images/otak.png,Organ dalaman yang mengawal pemikiran dan pergerakan badan.,hard,word_to_pic,2024-07-16T14:43:22,2024-07-16T14:43:59.080000,37.08,images/bahu.png,images/otak.png,0,0,1,modeling,1,2,10.08,1,SESS_USER_014_001,USER_014,1,web,2024-07-16T14:43:59.186737
Q_FOOD_H_004,EX_W_FOOD_H_004,Menulis - Makanan Sukar,2024-03-23T19:38:08,2024-03-23T19:43:26.960000,318.96,2024-03-23T19:38:00,2024-03-23T19:43:26.960000,writing,food,teh tarik,images/teh_tarik.png,hard,pic_to_word,2024-03-23T19:43:08,2024-03-23T19:43:26.960000,18.96,ayam,teh tarik,0,0,0,,0,0,,0,SESS_USER_017_001,USER_017,5,web,2024-03-23T19:43:27.202963
