exercise_id,module,title,description,category,difficulty,question_id,question_type,stimulus_type,stimulus_value,option_1,option_2,option_3,option_4,correct_answer,cue_functional,cue_rhyming,cue_written_initial,cue_spelling,cue_sentence_completion,cue_phonemic,cue_modeling
EX_W_ANI_E,writing,Menulis - Haiwan Mudah,Taip nama haiwan,haiwan,easy,Q_ANI_E_001,pic_to_word,image,images/kucing.png,,,,,kucing,"Ini ialah sejenis haiwan yang mengiau, berbulu lembut dan biasanya bersaiz kecil. ",Perkataan ini bunyinya hampir seperti 'pancing'.,k _ _ _ _ _,k-u-c-i-n-g,Ini ialah seekor ______.,Perkataan ini bermula dengan bunyi 'ku...'.,Sebut: kucing.
EX_W_ANI_E,writing,Menulis - Haiwan Mudah,Taip nama haiwan,haiwan,easy,Q_ANI_E_002,pic_to_word,image,images/anjing.png,,,,,anjing,Ini ialah sejenis haiwan yang menyalak dan menjaga rumah. ,Perkataan ini bunyinya hampir seperti 'jinjing'.,a _ _ _ _ _,a-n-j-i-n-g,Ini ialah seekor ______.,Perkataan ini bermula dengan bunyi 'an...'.,Sebut: anjing.
EX_W_ANI_E,writing,Menulis - Haiwan Mudah,Taip nama haiwan,haiwan,easy,Q_ANI_E_003,pic_to_word,image,images/ikan.png,,,,,ikan,Ini ialah sejenis haiwan yang hidup di dalam air dan mempunyai sirip. ,Perkataan ini bunyinya hampir seperti 'makan'.,i _ _ _,i-k-a-n,Saya makan ______ goreng.,Perkataan ini bermula dengan bunyi 'i...'.,Sebut: ikan.
EX_W_ANI_E,writing,Menulis - Haiwan Mudah,Taip nama haiwan,haiwan,easy,Q_ANI_E_004,pic_to_word,image,images/ayam.png,,,,,ayam,Ini ialah sejenis haiwan yang bertelur dan mengokok. ,Perkataan ini bunyinya hampir seperti 'bayam'.,a _ _ _,a-y-a-m,Saya makan nasi dengan ______.,Perkataan ini bermula dengan bunyi 'a...'.,Sebut: ayam.
EX_W_ANI_E,writing,Menulis - Haiwan Mudah,Taip nama haiwan,haiwan,easy,Q_ANI_E_005,pic_to_word,image,images/burung.png,,,,,burung,Ini ialah sejenis haiwan yang boleh terbang dan mempunyai sayap. ,Perkataan ini bunyinya hampir seperti 'kurung'.,b _ _ _ _ _,b-u-r-u-n-g,Di pokok ada seekor ______.,Perkataan ini bermula dengan bunyi 'bu...'.,Sebut: burung.
EX_W_ANI_M,writing,Menulis - Haiwan Sederhana,Taip nama haiwan,haiwan,medium,Q_ANI_M_001,pic_to_word,image,images/kambing.png,,,,,kambing,Ini ialah sejenis haiwan yang makan rumput.,Perkataan ini bunyinya hampir seperti 'ambing'.,k _ _ _ _ _ _,k-a-m-b-i-n-g,Di ladang ada ______.,Perkataan ini bermula dengan bunyi 'kam...'.,Sebut: kambing.
EX_W_ANI_M,writing,Menulis - Haiwan Sederhana,Taip nama haiwan,haiwan,medium,Q_ANI_M_002,pic_to_word,image,images/lembu.png,,,,,lembu,Ini ialah sejenis haiwan yang menghasilkan susu.,Perkataan ini bunyinya hampir seperti 'jambu'.,l _ _ _ _,l-e-m-b-u,Susu datang daripada ______.,Perkataan ini bermula dengan bunyi 'lem...'.,Sebut: lembu.
EX_W_ANI_M,writing,Menulis - Haiwan Sederhana,Taip nama haiwan,haiwan,medium,Q_ANI_M_003,pic_to_word,image,images/kuda.png,,,,,kuda,Ini ialah sejenis haiwan yang boleh ditunggang dan membawa muatan. ,Perkataan ini bunyinya hampir seperti 'muda'.,k _ _ _,k-u-d-a,Saya menunggang ______.,Perkataan ini bermula dengan bunyi 'ku...'.,Sebut: kuda.
EX_W_ANI_M,writing,Menulis - Haiwan Sederhana,Taip nama haiwan,haiwan,medium,Q_ANI_M_004,pic_to_word,image,images/monyet.png,,,,,monyet,Ini ialah sejenis haiwan yang suka memanjat.,Perkataan ini bunyinya hampir seperti 'penyet'.,m _ _ _ _ _,m-o-n-y-e-t,Di hutan ada ______.,Perkataan ini bermula dengan bunyi 'mo...'.,Sebut: monyet.
EX_W_ANI_M,writing,Menulis - Haiwan Sederhana,Taip nama haiwan,haiwan,medium,Q_ANI_M_005,pic_to_word,image,images/gajah.png,,,,,gajah,Ini ialah sejenis haiwan yang sangat besar.,Perkataan ini bunyinya hampir seperti 'rajah'.,g _ _ _ _,g-a-j-a-h,Saya melihat ______ di zoo.,Perkataan ini bermula dengan bunyi 'ga...'.,Sebut: gajah.
