question_id,module,category,item,item_image_filename,difficulty_label,question_type,presented_at_iso,response_at_iso,response_time_seconds,user_answer,correct_answer,correct,cue_given,cue_type,cue_stage,cue_wait_seconds,hint_count,session_id,user_id,therapist_assigned_level,device_type,created_at_iso
Q_00001,writing,animals,cat,animals/cat.png,easy,pic_to_word,2024-09-17T15:05:06,2024-09-17T15:05:45.070000,39.07,cat,cat,1,1,rhyming,7,42.43,5,SESS_USER_009_001,USER_009,1,mobile,2024-09-17T15:05:46.302188
Q_00002,comprehension,body_parts,leg,body_parts/leg.png,hard,category_sorting,2024-10-10T21:00:34,2024-10-10T21:00:47.810000,13.81,leg,leg,1,0,,0,,0,SESS_USER_017_001,USER_017,5,web,2024-10-10T21:00:48.736054
Q_00003,writing,clothing,sock,clothing/sock.png,easy,pic_to_word,2024-05-14T16:49:10,2024-05-14T16:49:21.800000,11.8,sock,sock,1,0,,0,,0,SESS_USER_047_001,USER_047,1,web,2024-05-14T16:49:22.864559
Q_00004,comprehension,food,cake,food/cake.png,hard,word_to_pic,2024-03-23T16:50:31,2024-03-23T16:51:08.410000,37.41,orange,cake,0,0,,0,,0,SESS_USER_024_001,USER_024,2,web,2024-03-23T16:51:10.275287
Q_00005,writing,animals,frog,animals/frog.png,easy,pic_to_word,2024-10-17T09:07:02,2024-10-17T09:07:08.950000,6.95,frog,frog,1,0,,0,,0,SESS_USER_016_001,USER_016,2,web,2024-10-17T09:07:09.293944
Q_00006,comprehension,body_parts,tooth,body_parts/tooth.png,hard,yes_no_question,2024-03-25T12:35:33,2024-03-25T12:35:46.030000,13.03,elbow,tooth,0,0,,0,,0,SESS_USER_036_001,USER_036,1,web,2024-03-25T12:35:47.484603
Q_00007,writing,clothing,coat,clothing/coat.png,easy,fill_in_blank,2024-09-21T15:10:01,2024-09-21T15:11:00.320000,59.32,coat,coat,1,1,functional,5,35.47,5,SESS_USER_029_001,USER_029,2,mobile,2024-09-21T15:11:01.764898
Q_00008,comprehension,food,milk,food/milk.png,hard,sentence_matching,2024-01-17T21:24:37,2024-01-17T21:25:10.280000,33.28,milk,milk,1,1,spelling,2,34.66,2,SESS_USER_005_001,USER_005,2,mobile,2024-01-17T21:25:11.914244
Q_00009,writing,animals,duck,animals/duck.png,easy,word_completion,2024-12-03T14:26:10,2024-12-03T14:26:16.040000,6.04,duck,duck,1,0,,0,,0,SESS_USER_007_001,USER_007,1,web,2024-12-03T14:26:17.381565
Q_00010,comprehension,body_parts,leg,body_parts/leg.png,hard,sentence_matching,2024-07-25T19:25:33,2024-07-25T19:26:10.390000,37.39,leg,leg,1,1,sentence_completion,4,12.71,2,SESS_USER_004_001,USER_004,2,mobile,2024-07-25T19:26:12.151523
Q_00011,writing,clothing,cap,clothing/cap.png,easy,pic_to_word,2024-03-25T12:38:03,2024-03-25T12:38:09.060000,6.06,boot,cap,0,0,,0,,0,SESS_USER_036_001,USER_036,1,mobile,2024-03-25T12:38:09.475991
Q_00012,comprehension,food,apple,food/apple.png,hard,yes_no_question,2024-01-31T10:29:38,2024-01-31T10:30:05.220000,27.22,apple,apple,1,1,modeling,7,30.03,4,SESS_USER_026_001,USER_026,5,web,2024-01-31T10:30:06.577555
Q_00013,writing,animals,monkey,animals/monkey.png,easy,pic_to_word,2024-05-31T11:09:09,2024-05-31T11:09:18.250000,9.25,monkey,monkey,1,0,,0,,0,SESS_USER_013_001,USER_013,1,mobile,2024-05-31T11:09:19.255898
Q_00014,comprehension,body_parts,arm,body_parts/arm.png,hard,sentence_matching,2024-07-25T19:27:39,2024-07-25T19:27:49.470000,10.47,arm,arm,1,1,functional,6,52.4,4,SESS_USER_004_001,USER_004,2,mobile,2024-07-25T19:27:50.037809
Q_00015,writing,clothing,vest,clothing/vest.png,easy,spelling_choice,2024-02-11T14:49:05,2024-02-11T14:49:07.840000,2.84,vest,vest,1,0,,0,,0,SESS_USER_040_001,USER_040,3,web,2024-02-11T14:49:08.393503
Q_00016,comprehension,food,carrot,food/carrot.png,hard,word_to_pic,2024-11-26T12:36:38,2024-11-26T12:36:59.410000,21.41,carrot,carrot,1,1,sentence_completion,5,59.79,1,SESS_USER_043_001,USER_043,3,mobile,2024-11-26T12:37:00.013881
Q_00017,writing,animals,cow,animals/cow.png,easy,word_completion,2024-10-17T09:13:09,2024-10-17T09:13:13.360000,4.36,cow,cow,1,0,,0,,0,SESS_USER_016_001,USER_016,2,web,2024-10-17T09:13:15.329321
Q_00018,comprehension,body_parts,chest,body_parts/chest.png,hard,category_sorting,2024-01-05T19:00:32,2024-01-05T19:00:50.110000,18.11,chest,chest,1,0,,0,,0,SESS_USER_034_001,USER_034,2,mobile,2024-01-05T19:00:50.712485
Q_00019,writing,clothing,belt,clothing/belt.png,easy,fill_in_blank,2024-05-24T17:22:08,2024-05-24T17:22:12.640000,4.64,pants,belt,0,0,,0,,0,SESS_USER_018_001,USER_018,5,mobile,2024-05-24T17:22:13.668211
Q_00020,comprehension,food,carrot,food/carrot.png,hard,sentence_matching,2024-05-21T08:09:37,2024-05-21T08:09:43.430000,6.43,carrot,carrot,1,0,,0,,0,SESS_USER_028_001,USER_028,1,web,2024-05-21T08:09:44.578193
Q_00021,writing,animals,horse,animals/horse.png,easy,pic_to_word,2024-02-27T10:06:02,2024-02-27T10:06:21.280000,19.28,horse,horse,1,0,,0,,0,SESS_USER_001_001,USER_001,1,web,2024-02-27T10:06:22.196595
Q_00022,comprehension,body_parts,foot,body_parts/foot.png,hard,category_sorting,2024-03-23T16:59:36,2024-03-23T17:00:04.820000,28.82,eye,foot,0,1,rhyming,6,10.65,5,SESS_USER_024_001,USER_024,2,mobile,2024-03-23T17:00:06.770290
Q_00023,writing,clothing,shirt,clothing/shirt.png,easy,fill_in_blank,2024-03-31T22:37:06,2024-03-31T22:37:14.330000,8.33,shirt,shirt,1,0,,0,,0,SESS_USER_011_001,USER_011,4,mobile,2024-03-31T22:37:15.954247
Q_00024,comprehension,food,egg,food/egg.png,hard,yes_no_question,2024-05-24T17:24:33,2024-05-24T17:24:39.380000,6.38,salad,egg,0,0,,0,,0,SESS_USER_018_001,USER_018,5,mobile,2024-05-24T17:24:39.859188
Q_00025,writing,animals,pig,animals/pig.png,easy,word_completion,2024-04-24T08:54:04,2024-04-24T08:54:09.770000,5.77,turtle,pig,0,0,,0,,0,SESS_USER_015_001,USER_015,2,mobile,2024-04-24T08:54:10.537178
Q_00026,comprehension,body_parts,mouth,body_parts/mouth.png,hard,sentence_matching,2024-06-18T08:19:30,2024-06-18T08:19:46.030000,16.03,neck,mouth,0,0,,0,,0,SESS_USER_035_001,USER_035,3,mobile,2024-06-18T08:19:46.335965
