question_id,exercise_id,exercise_name,exercise_start_at_iso,exercise_end_at_iso,exercise_duration_seconds,module_start_at_iso,module_end_at_iso,module,category,item,item_image_filename,difficulty_label,question_type,presented_at_iso,response_at_iso,response_time_seconds,user_answer,correct_answer,correct,correct_before_cue,cue_given,cue_type,cue_stage,cue_sequence_number,cue_wait_seconds,hint_count,session_id,user_id,therapist_assigned_level,device_type,created_at_iso
Q_00001,EX_WRI_ANI_E_001,Writing: Animals Easy #1,2024-09-17T15:05:00,2024-09-17T15:05:13.780000,13.78,2024-09-17T15:05:00,2024-09-17T15:05:13.780000,writing,animals,fish,animals/fish.png,easy,fill_in_blank,2024-09-17T15:05:03,2024-09-17T15:05:13.780000,10.78,fish,fish,1,1,0,,0,0,,0,SESS_USER_009_001,USER_009,1,mobile,2024-09-17T15:05:15.013177
Q_00002,EX_COM_BOD_H_002,Comprehension: Body Parts Hard #1,2024-08-27T16:16:38,2024-08-27T16:17:08.810000,30.81,2024-08-27T16:16:30,2024-08-27T16:17:08.810000,comprehension,body_parts,hand,body_parts/hand.png,hard,word_to_pic,2024-08-27T16:16:55,2024-08-27T16:17:08.810000,13.81,knee,hand,0,0,0,,0,0,,0,SESS_USER_039_001,USER_039,1,web,2024-08-27T16:17:10.370338
Q_00003,EX_WRI_CLO_E_003,Writing: Clothing Easy #1,2024-03-21T15:01:04,2024-03-21T15:01:50.800000,46.8,2024-03-21T15:01:00,2024-03-21T15:01:50.800000,writing,clothing,sandal,clothing/sandal.png,easy,fill_in_blank,2024-03-21T15:01:39,2024-03-21T15:01:50.800000,11.8,sandal,sandal,1,1,0,,0,0,,0,SESS_USER_028_001,USER_028,1,web,2024-03-21T15:01:51.467045
Q_00004,EX_COM_FOO_H_004,Comprehension: Food Hard #2,2024-08-27T16:17:35,2024-08-27T16:18:57.410000,82.41,2024-08-27T16:16:30,2024-08-27T16:18:57.410000,comprehension,food,meat,food/meat.png,hard,word_to_pic,2024-08-27T16:18:20,2024-08-27T16:18:57.410000,37.41,carrot,meat,0,0,0,,0,0,,0,SESS_USER_039_001,USER_039,1,web,2024-08-27T16:18:59.275287
Q_00005,EX_WRI_ANI_E_005,Writing: Animals Easy #1,2024-10-17T09:07:07,2024-10-17T09:08:20.170000,73.17,2024-10-17T09:07:00,2024-10-17T09:08:20.170000,writing,animals,bird,animals/bird.png,easy,fill_in_blank,2024-10-17T09:08:08,2024-10-17T09:08:20.170000,12.17,bird,bird,1,1,1,sentence_completion,2,1,19.58,2,SESS_USER_016_001,USER_016,2,web,2024-10-17T09:08:22.034936
Q_00006,EX_COM_BOD_H_006,Comprehension: Body Parts Hard #1,2024-04-12T19:21:36,2024-04-12T19:23:05.030000,89.03,2024-04-12T19:21:30,2024-04-12T19:23:05.030000,comprehension,body_parts,knee,body_parts/knee.png,hard,yes_no_question,2024-04-12T19:22:52,2024-04-12T19:23:05.030000,13.03,toe,knee,0,0,0,,0,0,,0,SESS_USER_045_001,USER_045,4,mobile,2024-04-12T19:23:05.556925
Q_00007,EX_WRI_CLO_E_007,Writing: Clothing Easy #1,2024-04-27T17:17:00,2024-04-27T17:19:16.850000,136.85,2024-04-27T17:17:00,2024-04-27T17:19:16.850000,writing,clothing,dress,clothing/dress.png,easy,pic_to_word,2024-04-27T17:18:33,2024-04-27T17:19:16.850000,43.85,dress,dress,1,0,1,modeling,3,1,8.9,1,SESS_USER_036_001,USER_036,1,mobile,2024-04-27T17:19:17.357050
Q_00008,EX_COM_FOO_H_008,Comprehension: Food Hard #1,2024-10-22T15:18:37,2024-10-22T15:21:09.790000,152.79,2024-10-22T15:18:30,2024-10-22T15:21:09.790000,comprehension,food,chicken,food/chicken.png,hard,sentence_matching,2024-10-22T15:20:27,2024-10-22T15:21:09.790000,42.79,tomato,chicken,0,0,1,written_initial,4,1,27.61,1,SESS_USER_037_001,USER_037,1,web,2024-10-22T15:21:10.076994
Q_00009,EX_WRI_ANI_E_009,Writing: Animals Easy #1,2024-05-07T11:16:08,2024-05-07T11:18:15.040000,127.04,2024-05-07T11:16:00,2024-05-07T11:18:15.040000,writing,animals,chicken,animals/chicken.png,easy,fill_in_blank,2024-05-07T11:18:09,2024-05-07T11:18:15.040000,6.04,chicken,chicken,1,1,0,,0,0,,0,SESS_USER_007_001,USER_007,1,web,2024-05-07T11:18:16.801523
Q_00010,EX_COM_BOD_H_010,Comprehension: Body Parts Hard #2,2024-04-27T17:18:40,2024-04-27T17:21:16.770000,156.77,2024-04-27T17:18:30,2024-04-27T17:21:16.770000,comprehension,body_parts,chest,body_parts/chest.png,hard,word_to_pic,2024-04-27T17:20:56,2024-04-27T17:21:16.770000,20.77,back,chest,0,0,0,,0,0,,0,SESS_USER_036_001,USER_036,1,mobile,2024-04-27T17:21:17.185991
